State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2017-2011 Change,2023-2017 Change,2017-2011 Change %,2023-2017 Change %
Alabama,4729509,4745278,4764428,4781296,4791931,4801599,4810126,4819343,4735638,4768569,4788639,4797729,4798888,4795906,74065,-23437,2%,0%
Alaska,702974,711962,721186,725193,725206,727862,731760,730874,706740,712356,716706,720213,722338,724732,18912,-6142,3%,-1%
Arizona,6332786,6402301,6468907,6543362,6651964,6747595,6851836,6935358,6244756,6344368,6560707,6686601,6722663,6812437,533057,-122921,8%,-2%
Arkansas,2888304,2906632,2912680,2923642,2931123,2938341,2949650,2968395,2894665,2907571,2915681,2922165,2930743,2938809,61763,-29586,2%,-1%
California,36907897,37222678,37572738,37873189,38340324,38675135,38783436,39085984,36875640,37361250,37578719,37912544,38161569,38368844,1863306,-717140,5%,-2%
Colorado,4988190,5048443,5123944,5206012,5293943,5393067,5476928,5542282,4966045,5041580,5123005,5202515,5325266,5426585,493839,-115697,10%,-2%
Connecticut,3541146,3548667,3555319,3562959,3558915,3554844,3541758,3556297,3550383,3553789,3554839,3554421,3553053,3551982,7630,-4315,0%,0%
Delaware,889812,897187,906576,914025,924770,935813,942073,952449,912983,924449,925809,922687,928293,930146,55262,-22303,6%,-2%
District of Columbia ,596747,611608,624847,636535,648586,663006,672022,684810,600474,604993,609596,610683,623675,647271,73202,-37539,12%,-5%
Florida,18647600,18863948,19114620,19345059,19683763,20068392,20401575,20772371,18495299,18774748,19142957,19502115,19865670,20264980,1908423,-507391,10%,-2%
Georgia,9587237,9699859,9796547,9870319,9970167,10088525,10179860,10299497,9625674,9721610,9807138,9874991,9968997,10073760,599638,-225737,6%,-2%
Hawaii,1346274,1357806,1374852,1387361,1401004,1414355,1410258,1410750,1352905,1365215,1375784,1382682,1391412,1401337,52944,-9413,4%,-1%
Idaho,1550967,1559637,1573036,1592596,1613068,1635366,1663756,1694182,1536961,1546650,1574357,1601929,1634341,1671451,134545,-22731,9%,-1%
Illinois,12680126,12718402,12725119,12740816,12730206,12706393,12654142,12659328,12724600,12731446,12726053,12716458,12703741,12691046,-59074,31718,0%,0%
Indiana,6414862,6437155,6457067,6492306,6516181,6540691,6554084,6591598,6518265,6501171,6505401,6499084,6506737,6523727,154443,-67871,2%,-1%
